Class,GridFins,ReusedCore,Legs,ReusedFairings,PayloadMass,FlightNumber,Flights,Block,ReusedCount,Year,Orbit,LaunchSite,Date,Serial,GTO,ISS,VLEO,LEO,B4,B5
0,0,0,0,0,6104.959412,1,1,1,0,2010,LEO,CCAFS SLC 40,6/4/2010,B0003,0,0,0,1,0,0
0,0,0,0,0,525.0,2,1,1,0,2012,LEO,CCAFS SLC 40,5/22/2012,B0005,0,0,0,1,0,0
0,0,0,0,0,677.0,3,1,1,0,2013,ISS,CCAFS SLC 40,3/1/2013,B0007,0,1,0,0,0,0
0,0,0,0,0,500.0,4,1,1,0,2013,PO,VAFB SLC 4E,9/29/2013,B1003,0,0,0,0,0,0
0,0,0,0,0,3170.0,5,1,1,0,2013,GTO,CCAFS SLC 40,12/3/2013,B1004,1,0,0,0,0,0
0,0,0,0,0,3325.0,6,1,1,0,2014,GTO,CCAFS SLC 40,1/6/2014,B1005,1,0,0,0,0,0
1,0,0,1,0,2296.0,7,1,1,0,2014,ISS,CCAFS SLC 40,4/18/2014,B1006,0,1,0,0,0,0
1,0,0,1,0,1316.0,8,1,1,0,2014,LEO,CCAFS SLC 40,7/14/2014,B1007,0,0,0,1,0,0
0,0,0,0,0,4535.0,9,1,1,0,2014,GTO,CCAFS SLC 40,8/5/2014,B1008,1,0,0,0,0,0
0,0,0,0,0,4428.0,10,1,1,0,2014,GTO,CCAFS SLC 40,9/7/2014,B1011,1,0,0,0,0,0
0,0,0,0,0,2216.0,11,1,1,0,2014,ISS,CCAFS SLC 40,9/21/2014,B1010,0,1,0,0,0,0
0,1,0,1,0,2395.0,12,1,1,0,2015,ISS,CCAFS SLC 40,1/10/2015,B1012,0,1,0,0,0,0
1,1,0,1,0,570.0,13,1,1,0,2015,ES-L1,CCAFS SLC 40,2/11/2015,B1013,0,0,0,0,0,0
0,1,0,1,0,1898.0,14,1,1,0,2015,ISS,CCAFS SLC 40,4/14/2015,B1015,0,1,0,0,0,0
0,0,0,0,0,4707.0,15,1,1,0,2015,GTO,CCAFS SLC 40,4/27/2015,B1016,1,0,0,0,0,0
0,1,0,1,0,2477.0,16,1,1,0,2015,ISS,CCAFS SLC 40,6/28/2015,B1018,0,1,0,0,0,0
1,1,0,1,0,2034.0,17,1,1,0,2015,LEO,CCAFS SLC 40,12/22/2015,B1019,0,0,0,1,0,0
0,1,0,1,0,553.0,18,1,1,0,2016,PO,VAFB SLC 4E,1/17/2016,B1017,0,0,0,0,0,0
0,1,0,1,0,5271.0,19,1,1,0,2016,GTO,CCAFS SLC 40,3/4/2016,B1020,1,0,0,0,0,0
1,1,0,1,0,3136.0,20,1,2,1,2016,ISS,CCAFS SLC 40,4/8/2016,B1021,0,1,0,0,0,0
1,1,0,1,0,4696.0,21,1,2,0,2016,GTO,CCAFS SLC 40,5/6/2016,B1022,1,0,0,0,0,0
1,1,0,1,0,3100.0,22,1,2,1,2016,GTO,CCAFS SLC 40,5/27/2016,B1023,1,0,0,0,0,0
1,1,0,1,0,2257.0,23,1,2,1,2016,ISS,CCAFS SLC 40,7/18/2016,B1025,0,1,0,0,0,0
1,1,0,1,0,4600.0,24,1,2,0,2016,GTO,CCAFS SLC 40,8/14/2016,B1026,1,0,0,0,0,0
0,1,0,1,0,5500.0,25,1,3,0,2016,GTO,CCAFS SLC 40,9/1/2016,B1028,1,0,0,0,0,0
1,1,0,1,0,9600.0,26,1,3,1,2017,PO,VAFB SLC 4E,1/14/2017,B1029,0,0,0,0,0,0
1,1,0,1,0,2490.0,27,1,3,1,2017,ISS,KSC LC 39A,2/19/2017,B1031,0,1,0,0,0,0
0,0,0,0,0,5600.0,28,1,3,0,2017,GTO,KSC LC 39A,3/16/2017,B1030,1,0,0,0,0,0
1,1,1,1,0,5300.0,29,2,2,1,2017,GTO,KSC LC 39A,3/30/2017,B1021,1,0,0,0,0,0
1,1,0,1,0,6104.959412,30,1,3,1,2017,LEO,KSC LC 39A,5/1/2017,B1032,0,0,0,1,0,0
0,0,0,0,0,6070.0,31,1,3,0,2017,GTO,KSC LC 39A,5/15/2017,B1034,1,0,0,0,0,0
1,1,0,1,0,2708.0,32,1,3,1,2017,ISS,KSC LC 39A,6/3/2017,B1035,0,1,0,0,0,0
1,1,1,1,0,3669.0,33,2,3,1,2017,GTO,KSC LC 39A,6/23/2017,B1029,1,0,0,0,0,0
1,1,0,1,0,9600.0,34,1,3,1,2017,PO,VAFB SLC 4E,6/25/2017,B1036,0,0,0,0,0,0
0,0,0,0,0,6761.0,35,1,3,0,2017,GTO,KSC LC 39A,7/5/2017,B1037,1,0,0,0,0,0
1,1,0,1,0,2910.0,36,1,4,1,2017,ISS,KSC LC 39A,8/14/2017,B1039,0,1,0,0,1,0
1,1,0,1,0,475.0,37,1,3,1,2017,SSO,VAFB SLC 4E,8/24/2017,B1038,0,0,0,0,0,0
1,1,0,1,0,4990.0,38,1,4,1,2017,LEO,KSC LC 39A,9/7/2017,B1040,0,0,0,1,1,0
1,1,0,1,0,9600.0,39,1,4,1,2017,PO,VAFB SLC 4E,10/9/2017,B1041,0,0,0,0,1,0
1,1,1,1,0,5200.0,40,2,3,1,2017,GTO,KSC LC 39A,10/11/2017,B1031,1,0,0,0,0,0
1,1,0,1,0,3700.0,41,1,4,0,2017,GTO,KSC LC 39A,10/30/2017,B1042,1,0,0,0,1,0
1,1,1,1,0,2205.0,42,2,3,1,2017,ISS,CCAFS SLC 40,12/15/2017,B1035,0,1,0,0,0,0
1,1,1,0,0,9600.0,43,2,3,1,2017,PO,VAFB SLC 4E,12/23/2017,B1036,0,0,0,0,0,0
1,1,0,1,0,6104.959412,44,1,4,1,2018,LEO,CCAFS SLC 40,1/8/2018,B1043,0,0,0,1,1,0
1,1,1,1,0,4230.0,45,2,3,1,2018,GTO,CCAFS SLC 40,1/31/2018,B1032,1,0,0,0,0,0
0,1,0,1,0,6092.0,46,1,4,0,2018,GTO,CCAFS SLC 40,3/6/2018,B1044,1,0,0,0,1,0
0,1,1,1,0,9600.0,47,2,4,1,2018,PO,VAFB SLC 4E,3/30/2018,B1041,0,0,0,0,1,0
0,1,1,1,0,2760.0,48,2,4,1,2018,ISS,CCAFS SLC 40,4/2/2018,B1039,0,1,0,0,1,0
1,1,0,1,0,350.0,49,1,4,1,2018,HEO,CCAFS SLC 40,4/18/2018,B1045,0,0,0,0,1,0
1,1,0,1,0,3750.0,50,1,5,3,2018,GTO,KSC LC 39A,5/11/2018,B1046,1,0,0,0,0,1
0,0,1,0,0,5383.85,51,2,4,1,2018,GTO,CCAFS SLC 40,6/4/2018,B1040,1,0,0,0,1,0
0,0,1,0,0,2410.0,52,2,4,1,2018,ISS,CCAFS SLC 40,6/29/2018,B1045,0,1,0,0,1,0
1,1,0,1,0,7076.0,53,1,5,2,2018,GTO,CCAFS SLC 40,7/22/2018,B1047,1,0,0,0,0,1
1,1,0,1,0,9600.0,54,1,5,4,2018,PO,VAFB SLC 4E,7/25/2018,B1048,0,0,0,0,0,1
1,1,1,1,0,5800.0,55,2,5,3,2018,GTO,CCAFS SLC 40,8/7/2018,B1046,1,0,0,0,0,1
1,1,0,1,0,7060.0,56,1,5,5,2018,GTO,CCAFS SLC 40,9/10/2018,B1049,1,0,0,0,0,1
1,1,1,1,0,2800.0,57,2,5,4,2018,SSO,VAFB SLC 4E,10/8/2018,B1048,0,0,0,0,0,1
1,1,1,1,0,3000.0,58,2,5,2,2018,GTO,KSC LC 39A,11/15/2018,B1047,1,0,0,0,0,1
1,1,1,1,0,4000.0,59,3,5,3,2018,SSO,VAFB SLC 4E,12/3/2018,B1046,0,0,0,0,0,1
0,1,0,1,0,2573.0,60,1,5,0,2018,ISS,CCAFS SLC 40,12/5/2018,B1050,0,1,0,0,0,1
0,0,0,0,0,4400.0,61,1,5,0,2018,MEO,CCAFS SLC 40,12/23/2018,B1054,0,0,0,0,0,1
1,1,1,1,0,9600.0,62,2,5,5,2019,PO,VAFB SLC 4E,1/11/2019,B1049,0,0,0,0,0,1
1,1,0,1,0,12259.0,63,1,5,5,2019,ISS,KSC LC 39A,3/2/2019,B1051,0,1,0,0,0,1
1,1,0,1,0,2482.0,64,1,5,3,2019,ISS,CCAFS SLC 40,5/4/2019,B1056,0,1,0,0,0,1
1,1,1,1,0,13620.0,65,3,5,5,2019,VLEO,CCAFS SLC 40,5/24/2019,B1049,0,0,1,0,0,1
1,1,1,1,0,1425.0,66,2,5,5,2019,SSO,VAFB SLC 4E,6/12/2019,B1051,0,0,0,0,0,1
1,1,1,1,0,2227.7,67,2,5,3,2019,ISS,CCAFS SLC 40,7/25/2019,B1056,0,1,0,0,0,1
0,0,1,0,0,6500.0,68,3,5,2,2019,GTO,CCAFS SLC 40,8/6/2019,B1047,1,0,0,0,0,1
1,1,1,1,1,15600.0,69,4,5,4,2019,VLEO,CCAFS SLC 40,11/11/2019,B1048,0,0,1,0,0,1
1,1,0,1,0,5000.0,70,1,5,3,2019,ISS,CCAFS SLC 40,12/5/2019,B1059,0,1,0,0,0,1
1,1,1,1,0,6800.0,71,3,5,3,2019,GTO,CCAFS SLC 40,12/17/2019,B1056,1,0,0,0,0,1
1,1,1,1,0,15400.0,72,4,5,5,2020,VLEO,CCAFS SLC 40,1/7/2020,B1049,0,0,1,0,0,1
0,0,1,0,0,6104.959412,73,4,5,3,2020,SO,KSC LC 39A,1/19/2020,B1046,0,0,0,0,0,1
1,1,1,1,0,15600.0,74,3,5,5,2020,VLEO,CCAFS SLC 40,1/29/2020,B1051,0,0,1,0,0,1
0,1,1,1,0,15400.0,75,4,5,3,2020,VLEO,CCAFS SLC 40,2/17/2020,B1056,0,0,1,0,0,1
1,1,1,1,0,1977.0,76,2,5,3,2020,ISS,CCAFS SLC 40,3/7/2020,B1059,0,1,0,0,0,1
0,1,1,1,1,15600.0,77,5,5,4,2020,VLEO,KSC LC 39A,3/18/2020,B1048,0,0,1,0,0,1
1,1,1,1,1,15400.0,78,4,5,5,2020,VLEO,KSC LC 39A,4/22/2020,B1051,0,0,1,0,0,1
1,1,0,1,0,9525.0,79,1,5,2,2020,ISS,KSC LC 39A,5/30/2020,B1058,0,1,0,0,0,1
1,1,1,1,0,15400.0,80,5,5,5,2020,VLEO,CCAFS SLC 40,6/4/2020,B1049,0,0,1,0,0,1
1,1,1,1,1,15400.0,81,3,5,3,2020,VLEO,CCAFS SLC 40,6/13/2020,B1059,0,0,1,0,0,1
1,1,0,1,0,3880.0,82,1,5,2,2020,MEO,CCAFS SLC 40,6/30/2020,B1060,0,0,0,0,0,1
1,1,1,1,0,6104.959412,83,2,5,2,2020,GEO,CCAFS SLC 40,7/20/2020,B1058,0,0,0,0,0,1
1,1,1,1,1,15400.0,84,6,5,5,2020,VLEO,CCAFS SLC 40,8/18/2020,B1049,0,0,1,0,0,1
1,1,1,1,0,1600.0,85,4,5,3,2020,SSO,CCAFS SLC 40,8/30/2020,B1059,0,0,0,0,0,1
1,1,1,1,0,15400.0,86,2,5,2,2020,VLEO,KSC LC 39A,9/3/2020,B1060,0,0,1,0,0,1
1,1,1,1,1,15400.0,87,3,5,2,2020,VLEO,KSC LC 39A,10/6/2020,B1058,0,0,1,0,0,1
1,1,1,1,1,15400.0,88,6,5,5,2020,VLEO,KSC LC 39A,10/18/2020,B1051,0,0,1,0,0,1
1,1,1,1,0,15400.0,89,3,5,2,2020,VLEO,CCAFS SLC 40,10/24/2020,B1060,0,0,1,0,0,1
1,1,0,1,0,3681.0,90,1,5,0,2020,MEO,CCAFS SLC 40,11/5/2020,B1062,0,0,0,0,0,1
